fid,numberplate,date,time,lat,lon,plant
117,AUS 119X,2015-03-30,10:53:03,0.358437,32.550365,Bugolobi
118,AUS 119X,2015-03-31,03:53:41,0.348626,32.572287,Bugolobi
119,AUS 119X,2015-03-31,10:33:01,0.322447,32.562545,Bugolobi
120,AUS 119X,2015-03-31,11:42:01,0.363645,32.540204,Bugolobi
